id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13849575,JJ271776,2025-05-24T00:00:00.000,0000X E ELM ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1824,018,2,8,11,1176813,1908120,2025,2025-05-31T15:43:34.000,41.903227727,-87.625966133,"{'latitude': '41.903227727', 'longitude': '-87.625966133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,105,11,54,14,197,2
13845496,JJ266932,2025-05-24T00:00:00.000,0000X W DIVISION ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,1824,018,2,8,24,1175961,1908371,2025,2025-05-31T15:43:34.000,41.903935719,-87.6290881,"{'latitude': '41.903935719', 'longitude': '-87.6290881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14926,37,17,11,54,14,197,2
13849505,JJ266856,2025-05-24T00:00:00.000,010XX W 20TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1235,012,25,31,08B,1169868,1890332,2025,2025-05-31T15:43:34.000,41.854570491,-87.651995052,"{'latitude': '41.854570491', 'longitude': '-87.651995052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,228,26,43,15,158,25
13851043,JJ273548,2025-05-24T00:00:00.000,003XX N ASHLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,FACTORY / MANUFACTURING BUILDING,False,False,1215,012,27,28,05,1165679,1902193,2025,2025-05-31T15:43:34.000,41.887208258,-87.667032452,"{'latitude': '41.887208258', 'longitude': '-87.667032452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,78,27
13847379,JJ269100,2025-05-24T00:00:00.000,085XX S SAGINAW AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,0423,004,7,46,06,1195311,1848900,2025,2025-05-31T15:43:34.000,41.740286857,-87.559978597,"{'latitude': '41.740286857', 'longitude': '-87.559978597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,226,37,25,19,238,5
13848585,JJ270563,2025-05-24T00:00:00.000,016XX W IRVING PARK RD,0620,BURGLARY,UNLAWFUL ENTRY,OTHER (SPECIFY),False,False,1912,019,47,6,05,1164434,1926620,2025,2025-05-31T15:43:34.000,41.954263915,-87.670911524,"{'latitude': '41.954263915', 'longitude': '-87.670911524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21186,57,651,18,53,5,8,47
13845483,JJ266844,2025-05-24T00:00:00.000,008XX N CLARK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1832,018,2,8,08B,1175387,1906013,2025,2025-05-31T15:43:34.000,41.897478161,-87.631267403,"{'latitude': '41.897478161', 'longitude': '-87.631267403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14926,37,310,11,54,14,72,2
13845666,JJ267016,2025-05-24T00:00:00.000,114XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,0531,005,9,49,06,1179611,1829249,2025,2025-05-31T15:43:34.000,41.686734702,-87.618099007,"{'latitude': '41.686734702', 'longitude': '-87.618099007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,253,43,19,10,265,11
13845719,JJ267038,2025-05-24T00:00:00.000,031XX W FLOURNOY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1134,011,24,27,07,1155638,1896865,2025,2025-05-31T15:43:34.000,41.872795719,-87.704049438,"{'latitude': '41.872795719', 'longitude': '-87.704049438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21184,28,36,14,28,16,140,24
13845573,JJ267002,2025-05-24T00:00:00.000,0000X E 44TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0215,002,3,38,14,1177289,1875862,2025,2025-05-31T15:43:34.000,41.814698873,-87.625194981,"{'latitude': '41.814698873', 'longitude': '-87.625194981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,393,9,36,24,98,8
13847051,JJ268700,2025-05-24T00:00:00.000,016XX W 107TH ST,0810,THEFT,OVER $500,RESIDENCE,False,False,2212,022,19,72,06,1167281,1833758,2025,2025-05-31T15:43:34.000,41.699380206,-87.663108743,"{'latitude': '41.699380206', 'longitude': '-87.663108743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,22212,71,630,42,13,9,257,19
13845609,JJ267020,2025-05-24T00:00:00.000,022XX W ROSEMONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2413,024,50,2,14,1160055,1941784,2025,2025-05-31T15:43:34.000,41.995966368,-87.686588457,"{'latitude': '41.995966368', 'longitude': '-87.686588457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,53,27,50,11,52,50
13848461,JJ270404,2025-05-24T00:00:00.000,050XX S SEELEY AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),False,False,0931,009,15,61,06,1163541,1871291,2025,2025-05-31T15:43:34.000,41.802455323,-87.675752688,"{'latitude': '41.802455323', 'longitude': '-87.675752688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,59,788,3,37,23,119,15
13846875,JJ267802,2025-05-24T00:00:00.000,081XX S THROOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0613,006,17,71,08B,1169073,1850874,2025,2025-05-31T15:43:34.000,41.746310609,-87.65605416,"{'latitude': '41.746310609', 'longitude': '-87.65605416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,575,13,59,20,233,17
13845425,JJ266862,2025-05-24T00:00:00.000,132XX S LANGLEY AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,False,0533,005,10,54,24,1183300,1817296,2025,2025-05-31T15:43:34.000,41.653849107,-87.604964135,"{'latitude': '41.653849107', 'longitude': '-87.604964135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,10,43,47,10,221,6
13852958,JJ275856,2025-05-24T00:00:00.000,010XX W LOYOLA AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,False,False,2432,024,49,1,14,,,2025,2025-05-31T15:43:34.000,,,,,,,,,,,,
13845438,JJ266836,2025-05-23T23:58:00.000,063XX S VERNON AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,RESIDENCE,True,False,0312,003,20,42,26,1180342,1863017,2025,2025-05-31T15:43:34.000,41.779381465,-87.614390356,"{'latitude': '41.779381465', 'longitude': '-87.614390356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,332,4,60,18,277,20
13845448,JJ266859,2025-05-23T23:57:00.000,050XX W FERDINAND ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,False,1532,015,37,25,26,1142485,1902801,2025,2025-05-31T15:43:34.000,41.889339295,-87.752193125,"{'latitude': '41.889339295', 'longitude': '-87.752193125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,694,45,32,25,81,37
13845445,JJ266852,2025-05-23T23:51:00.000,0000X W 44TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,0215,002,3,38,15,1176617,1875842,2025,2025-05-31T15:43:34.000,41.814659161,-87.627660547,"{'latitude': '41.814659161', 'longitude': '-87.627660547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,4,219,9,37,24,98,8
